Count,datetime,DataSize,Upload
1,2021-06-02 17:25:23,150,Yes
2,2021-06-02 17:25:25,150,Yes
3,2021-06-02 17:25:26,150,Yes
4,2021-06-02 17:25:27,150,Yes
5,2021-06-02 17:25:28,150,Yes
6,2021-06-02 17:25:29,150,Yes
7,2021-06-02 17:25:30,150,Yes
8,2021-06-02 17:25:31,150,Yes
9,2021-06-02 17:25:32,150,Yes
10,2021-06-02 17:25:33,150,Yes
11,2021-06-02 17:25:34,150,Yes
12,2021-06-02 17:25:35,150,Yes
13,2021-06-02 17:25:36,150,Yes
14,2021-06-02 17:25:37,150,Yes
15,2021-06-02 17:25:38,150,Yes
16,2021-06-02 17:25:39,150,Yes
17,2021-06-02 17:25:40,150,Yes
18,2021-06-02 17:25:41,150,Yes
19,2021-06-02 17:25:42,150,Yes
20,2021-06-02 17:25:43,150,Yes
21,2021-06-02 17:25:44,150,Yes
22,2021-06-02 17:25:45,150,Yes
23,2021-06-02 17:25:46,150,Yes
24,2021-06-02 17:25:47,150,Yes
25,2021-06-02 17:25:48,150,Yes
26,2021-06-02 17:25:49,150,Yes
27,2021-06-02 17:25:50,150,Yes
28,2021-06-02 17:25:51,150,Yes
29,2021-06-02 17:25:52,150,Yes
30,2021-06-02 17:25:53,150,Yes
31,2021-06-02 17:25:54,150,Yes
32,2021-06-02 17:25:55,150,Yes
33,2021-06-02 17:25:56,150,Yes
34,2021-06-02 17:25:57,150,Yes
35,2021-06-02 17:25:58,150,No
36,2021-06-02 17:25:59,150,No
37,2021-06-02 17:27:00,150,No
38,2021-06-02 17:28:01,150,No
39,2021-06-02 17:29:02,150,Yes
40,2021-06-02 17:29:10,150,Yes
41,2021-06-02 17:29:10,150,Yes
42,2021-06-02 17:29:11,150,Yes
43,2021-06-02 17:29:11,150,Yes
44,2021-06-02 17:29:12,150,Yes
45,2021-06-02 17:29:12,150,Yes
46,2021-06-02 17:29:13,150,Yes
47,2021-06-02 17:29:13,150,Yes
48,2021-06-02 17:29:14,150,Yes
49,2021-06-02 17:29:14,150,Yes
50,2021-06-02 17:29:15,150,Yes
51,2021-06-02 17:29:15,150,Yes
52,2021-06-02 17:29:16,150,Yes
53,2021-06-02 17:29:16,150,Yes
54,2021-06-02 17:29:17,150,Yes
55,2021-06-02 17:29:17,150,Yes
56,2021-06-02 17:29:17,150,Yes
57,2021-06-02 17:29:18,150,Yes
58,2021-06-02 17:29:18,150,Yes
59,2021-06-02 17:29:19,150,Yes
60,2021-06-02 17:29:19,150,Yes
61,2021-06-02 17:29:20,150,Yes
62,2021-06-02 17:29:20,150,Yes
63,2021-06-02 17:29:21,150,Yes
64,2021-06-02 17:29:21,150,Yes
65,2021-06-02 17:29:22,150,Yes
66,2021-06-02 17:29:22,150,Yes
67,2021-06-02 17:29:23,150,Yes
68,2021-06-02 17:29:23,150,Yes
69,2021-06-02 17:29:23,150,Yes
70,2021-06-02 17:29:24,150,Yes
71,2021-06-02 17:29:24,150,Yes
72,2021-06-02 17:29:25,150,Yes
73,2021-06-02 17:29:25,150,Yes
74,2021-06-02 17:29:26,150,Yes
75,2021-06-02 17:29:26,150,Yes
76,2021-06-02 17:29:27,150,Yes
77,2021-06-02 17:29:27,150,Yes
78,2021-06-02 17:29:28,150,Yes
79,2021-06-02 17:29:28,150,Yes
80,2021-06-02 17:29:29,150,Yes
81,2021-06-02 17:29:29,150,Yes
82,2021-06-02 17:29:30,150,Yes
83,2021-06-02 17:29:30,150,Yes
84,2021-06-02 17:29:31,150,Yes
85,2021-06-02 17:29:31,150,Yes
86,2021-06-02 17:29:32,150,Yes
87,2021-06-02 17:29:32,150,Yes
88,2021-06-02 17:29:33,150,Yes
89,2021-06-02 17:29:33,150,Yes
90,2021-06-02 17:29:33,150,Yes
91,2021-06-02 17:29:34,150,Yes
92,2021-06-02 17:29:34,150,Yes
